tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ORF_2112	-	-	ORF_2112	-	-	refORF_2112:0-2265	-	-	12.4783	11.2885	13.6681	OK
ORF_2113	-	-	ORF_2113	-	-	refORF_2113:0-1479	-	-	86.4238	82.4832	90.3644	OK
ORF_2114	-	-	ORF_2114	-	-	refORF_2114:0-903	-	-	53.4555	49.2642	57.6467	OK
ORF_2115	-	-	ORF_2115	-	-	refORF_2115:0-744	-	-	41.2122	37.0807	45.3438	OK
ORF_2116	-	-	ORF_2116	-	-	refORF_2116:0-777	-	-	181.449	173.023	189.875	OK
ORF_2117	-	-	ORF_2117	-	-	refORF_2117:0-420	-	-	15.349	11.3941	19.3039	OK
ORF_2118	-	-	ORF_2118	-	-	refORF_2118:0-2004	-	-	11.1623	9.95576	12.3688	OK
ORF_2119	-	-	ORF_2119	-	-	refORF_2119:0-1347	-	-	128.059	122.998	133.12	OK
ORF_2120	-	-	ORF_2120	-	-	refORF_2120:0-924	-	-	4.0018	2.87342	5.13017	OK
ORF_2121	-	-	ORF_2121	-	-	refORF_2121:0-1593	-	-	22.4218	20.4818	24.3619	OK
ORF_2122	-	-	ORF_2122	-	-	refORF_2122:0-744	-	-	476.84	462.723	490.957	OK
ORF_2123	-	-	ORF_2123	-	-	refORF_2123:0-405	-	-	114.064	103.118	125.01	OK
ORF_2124	-	-	ORF_2124	-	-	refORF_2124:0-852	-	-	3.12785	2.06578	4.18992	OK
ORF_2125	-	-	ORF_2125	-	-	refORF_2125:0-864	-	-	22.5346	19.7287	25.3406	OK
ORF_2126	-	-	ORF_2126	-	-	refORF_2126:0-1098	-	-	904.991	889.61	920.372	OK
ORF_2127	-	-	ORF_2127	-	-	refORF_2127:0-2949	-	-	28.5007	26.9429	30.0585	OK
ORF_2128	-	-	ORF_2128	-	-	refORF_2128:0-1944	-	-	41.0424	38.7094	43.3754	OK
ORF_2129	-	-	ORF_2129	-	-	refORF_2129:0-738	-	-	257.891	247.5	268.282	OK
ORF_2130	-	-	ORF_2130	-	-	refORF_2130:0-2892	-	-	140.66	137.143	144.178	OK
ORF_2131	-	-	ORF_2131	-	-	refORF_2131:0-1104	-	-	5.93763	4.71108	7.16418	OK
ORF_2132	-	-	ORF_2132	-	-	refORF_2132:0-327	-	-	170.269	153.811	186.727	OK
ORF_2133	-	-	ORF_2133	-	-	refORF_2133:0-2838	-	-	10.7749	9.79864	11.7512	OK
ORF_2134	-	-	ORF_2134	-	-	refORF_2134:0-1779	-	-	5.47299	4.57926	6.36673	OK
ORF_2135	-	-	ORF_2135	-	-	refORF_2135:0-786	-	-	20.4286	17.5851	23.2721	OK
ORF_2136	-	-	ORF_2136	-	-	refORF_2136:0-2667	-	-	127.779	124.3	131.257	OK
ORF_2137	-	-	ORF_2137	-	-	refORF_2137:0-552	-	-	506.702	488.857	524.547	OK
ORF_2138	-	-	ORF_2138	-	-	refORF_2138:0-1137	-	-	24.3944	21.955	26.8339	OK
ORF_2139	-	-	ORF_2139	-	-	refORF_2139:0-621	-	-	127.717	119.417	136.017	OK
ORF_2140	-	-	ORF_2140	-	-	refORF_2140:0-915	-	-	50.8343	46.7897	54.8788	OK
ORF_2141	-	-	ORF_2141	-	-	refORF_2141:0-729	-	-	56.4889	51.5325	61.4452	OK
ORF_2142	-	-	ORF_2142	-	-	refORF_2142:0-1356	-	-	24.711	22.476	26.946	OK
ORF_2143	-	-	ORF_2143	-	-	refORF_2143:0-1005	-	-	8.34901	6.81183	9.88619	OK
ORF_2144	-	-	ORF_2144	-	-	refORF_2144:0-834	-	-	105.26	99.1136	111.407	OK
ORF_2145	-	-	ORF_2145	-	-	refORF_2145:0-1191	-	-	172.254	165.947	178.561	OK
ORF_2146	-	-	ORF_2146	-	-	refORF_2146:0-1824	-	-	549.522	540.555	558.489	OK
ORF_2147	-	-	ORF_2147	-	-	refORF_2147:0-987	-	-	79.7123	74.8919	84.5328	OK
ORF_2148	-	-	ORF_2148	-	-	refORF_2148:0-3252	-	-	48.6625	46.7401	50.585	OK
ORF_2149	-	-	ORF_2149	-	-	refORF_2149:0-1098	-	-	17.8658	15.7181	20.0136	OK
ORF_2150	-	-	ORF_2150	-	-	refORF_2150:0-1617	-	-	143.895	139.061	148.729	OK
ORF_2151	-	-	ORF_2151	-	-	refORF_2151:0-2646	-	-	9.57988	8.62782	10.5319	OK
ORF_2152	-	-	ORF_2152	-	-	refORF_2152:0-1053	-	-	9.76158	8.14583	11.3773	OK
ORF_2153	-	-	ORF_2153	-	-	refORF_2153:0-213	-	-	14.4275	5.72738	23.1276	OK
ORF_2154	-	-	ORF_2154	-	-	refORF_2154:0-3090	-	-	5.5321	4.85825	6.20596	OK
ORF_2155	-	-	ORF_2155	-	-	refORF_2155:0-2631	-	-	9.90031	8.92951	10.8711	OK
ORF_2156	-	-	ORF_2156	-	-	refORF_2156:0-981	-	-	75.5002	70.7628	80.2376	OK
ORF_2157	-	-	ORF_2157	-	-	refORF_2157:0-1116	-	-	169.483	162.981	175.985	OK
ORF_2158	-	-	ORF_2158	-	-	refORF_2158:0-909	-	-	64.7071	60.1316	69.2826	OK
ORF_2159	-	-	ORF_2159	-	-	refORF_2159:0-1191	-	-	11.7183	10.0579	13.3788	OK
ORF_2160	-	-	ORF_2160	-	-	refORF_2160:0-753	-	-	16.8167	14.1914	19.442	OK
ORF_2161	-	-	ORF_2161	-	-	refORF_2161:0-882	-	-	38.0073	34.4269	41.5878	OK
ORF_2162	-	-	ORF_2162	-	-	refORF_2162:0-1488	-	-	790.927	778.866	802.988	OK
ORF_2163	-	-	ORF_2163	-	-	refORF_2163:0-2574	-	-	40.91	38.9113	42.9086	OK
ORF_2164	-	-	ORF_2164	-	-	refORF_2164:0-1119	-	-	8.63972	7.1741	10.1053	OK
ORF_2165	-	-	ORF_2165	-	-	refORF_2165:0-780	-	-	119.419	112.586	126.252	OK
ORF_2166	-	-	ORF_2166	-	-	refORF_2166:0-807	-	-	186.631	178.293	194.969	OK
ORF_2167	-	-	ORF_2167	-	-	refORF_2167:0-918	-	-	85.2755	80.0644	90.4866	OK
ORF_2168	-	-	ORF_2168	-	-	refORF_2168:0-960	-	-	87.3394	82.214	92.4648	OK
ORF_2169	-	-	ORF_2169	-	-	refORF_2169:0-642	-	-	168.309	159.056	177.563	OK
ORF_2170	-	-	ORF_2170	-	-	refORF_2170:0-735	-	-	19.9937	17.0584	22.929	OK
ORF_2171	-	-	ORF_2171	-	-	refORF_2171:0-1263	-	-	60.7284	57.0928	64.364	OK
ORF_2172	-	-	ORF_2172	-	-	refORF_2172:0-6462	-	-	52.9431	51.5344	54.3517	OK
ORF_2173	-	-	ORF_2173	-	-	refORF_2173:0-1056	-	-	10.3278	8.6687	11.9869	OK
ORF_2174	-	-	ORF_2174	-	-	refORF_2174:0-5721	-	-	11.4618	10.7647	12.1589	OK
ORF_2175	-	-	ORF_2175	-	-	refORF_2175:0-1086	-	-	6.63551	5.32683	7.9442	OK
ORF_2176	-	-	ORF_2176	-	-	refORF_2176:0-501	-	-	62.1079	55.3423	68.8735	OK
ORF_2177	-	-	ORF_2177	-	-	refORF_2177:0-1080	-	-	24.579	22.0429	27.1152	OK
ORF_2178	-	-	ORF_2178	-	-	refORF_2178:0-948	-	-	44.9229	41.181	48.6648	OK
ORF_2179	-	-	ORF_2179	-	-	refORF_2179:0-1641	-	-	15.8942	14.3008	17.4876	OK
ORF_2180	-	-	ORF_2180	-	-	refORF_2180:0-2280	-	-	13.8336	12.5824	15.0848	OK
ORF_2181	-	-	ORF_2181	-	-	refORF_2181:0-864	-	-	159.62	152.238	167.003	OK
ORF_2182	-	-	ORF_2182	-	-	refORF_2182:0-1470	-	-	9.63451	8.29588	10.9731	OK
ORF_2183	-	-	ORF_2183	-	-	refORF_2183:0-843	-	-	77.8501	72.5587	83.1415	OK
ORF_2184	-	-	ORF_2184	-	-	refORF_2184:0-3558	-	-	7.01007	6.31426	7.70588	OK
ORF_2185	-	-	ORF_2185	-	-	refORF_2185:0-1566	-	-	35.9091	33.4292	38.389	OK
ORF_2186	-	-	ORF_2186	-	-	refORF_2186:0-966	-	-	806.487	790.786	822.188	OK
ORF_2187	-	-	ORF_2187	-	-	refORF_2187:0-777	-	-	439.39	426.225	452.555	OK
ORF_2188	-	-	ORF_2188	-	-	refORF_2188:0-3657	-	-	10.8698	10.0103	11.7294	OK
